mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.995214064915975,0.01254155819534891,0.1847365697224935,0.011437165436429541,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8109243697478992,0.8185654008438819,0.8185654008438819,0.8160183904785544,0.00360201660215109,37
1.0552888711293538,0.03434623468488633,0.16732454299926758,0.018022108132610806,3,150,"{'clf__max_depth': 3, 'clf__n_estimators': 150}",0.8151260504201681,0.8185654008438819,0.8227848101265823,0.818825420463544,0.003132076809627087,33
1.1177431742350261,0.012724789709322561,0.14332890510559082,0.008285978074968711,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8151260504201681,0.8185654008438819,0.8059071729957806,0.8131995414199436,0.005344234323678242,39
1.1881355444590251,0.017555456640436742,0.12564524014790854,0.0008548797367664121,3,250,"{'clf__max_depth': 3, 'clf__n_estimators': 250}",0.819327731092437,0.8185654008438819,0.8185654008438819,0.8188195109267337,0.0003593659255046244,34
1.316905419031779,0.09922796879303161,0.17818506558736166,0.027581085408547732,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.8025210084033614,0.8185654008438819,0.810126582278481,0.8104043305085747,0.006553039511343714,40
1.0287989775339763,0.2119917042853917,0.1871809164683024,0.022417035747242697,3,350,"{'clf__max_depth': 3, 'clf__n_estimators': 350}",0.819327731092437,0.8185654008438819,0.8227848101265823,0.8202259806876336,0.001835936259820968,27
1.0222378571828206,0.04180885861580905,0.1769560178120931,0.0067912391137011485,3,400,"{'clf__max_depth': 3, 'clf__n_estimators': 400}",0.8067226890756303,0.8185654008438819,0.8227848101265823,0.8160243000153647,0.006799060142371483,36
1.2765618165334065,0.09096004761238732,0.2017954190572103,0.02720272189708072,3,450,"{'clf__max_depth': 3, 'clf__n_estimators': 450}",0.8109243697478992,0.8185654008438819,0.8143459915611815,0.8146119207176542,0.0031251002959521474,38
0.34926772117614746,0.02120359719797682,0.11599890391031902,0.014437141742795007,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.8151260504201681,0.8227848101265823,0.8227848101265823,0.8202318902244442,0.0036103739492558845,26
0.5000575383504232,0.056404463754701574,0.1523555119832357,0.025125991054165738,4,150,"{'clf__max_depth': 4, 'clf__n_estimators': 150}",0.8277310924369747,0.8354430379746836,0.8312236286919831,0.8314659197012139,0.0031530466424303837,1
0.6660389105478922,0.10709416027156586,0.13561789194742838,0.006901309740210286,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.819327731092437,0.8312236286919831,0.8270042194092827,0.8258518597312343,0.004924364225996811,10
0.8459064165751139,0.09343123885049912,0.16499741872151694,0.0061034609416326675,4,250,"{'clf__max_depth': 4, 'clf__n_estimators': 250}",0.819327731092437,0.8354430379746836,0.8227848101265823,0.8258518597312343,0.006927282965939481,10
0.8770914872487386,0.09869953217271496,0.15325514475504556,0.007073027921300223,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.8151260504201681,0.8312236286919831,0.8227848101265823,0.8230448297462445,0.006574380285434243,23
1.0121525128682454,0.02553274387625846,0.1563387711842855,0.02211926692052396,4,350,"{'clf__max_depth': 4, 'clf__n_estimators': 350}",0.8235294117647058,0.8354430379746836,0.8227848101265823,0.827252419955324,0.005799613524719743,7
1.123857895533244,0.04725669908830577,0.17407560348510742,0.006950484990714542,4,400,"{'clf__max_depth': 4, 'clf__n_estimators': 400}",0.8151260504201681,0.8312236286919831,0.8270042194092827,0.8244512995071447,0.006815230814108075,17
1.3792229493459065,0.1828494404027716,0.2223790486653646,0.01829179703916778,4,450,"{'clf__max_depth': 4, 'clf__n_estimators': 450}",0.819327731092437,0.8312236286919831,0.8312236286919831,0.8272583294921344,0.005607779907293225,6
0.3842318058013916,0.012840834661683617,0.11572496096293132,0.006329288807392275,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8319327731092437,0.8227848101265823,0.8185654008438819,0.8244276613599025,0.005579479094641249,20
0.5333008766174316,0.04843364921619887,0.14472452799479166,0.012749483962125429,5,150,"{'clf__max_depth': 5, 'clf__n_estimators': 150}",0.8151260504201681,0.8185654008438819,0.8312236286919831,0.8216383599853443,0.006921720160390097,25
0.6456692218780518,0.07729734811685474,0.1714488665262858,0.013002185961740497,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.819327731092437,0.8227848101265823,0.8354430379746836,0.8258518597312343,0.006927282965939481,10
0.7902183532714844,0.12459131199912202,0.1611804167429606,0.007380536092884677,5,250,"{'clf__max_depth': 5, 'clf__n_estimators': 250}",0.8277310924369747,0.8185654008438819,0.8270042194092827,0.8244335708967131,0.004160020106225901,18
0.9219021797180176,0.03541929628549924,0.18878531455993652,0.012622459987882523,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.819327731092437,0.8270042194092827,0.8227848101265823,0.8230389202094339,0.0031390600684836107,24
0.9987519582112631,0.03662781426398424,0.24388527870178223,0.01957747195193855,5,350,"{'clf__max_depth': 5, 'clf__n_estimators': 350}",0.8277310924369747,0.8312236286919831,0.8354430379746836,0.8314659197012139,0.0031530466424303833,1
1.2371844450632732,0.04468377558050611,0.20874865849812826,0.013602628316916108,5,400,"{'clf__max_depth': 5, 'clf__n_estimators': 400}",0.8277310924369747,0.8270042194092827,0.8396624472573839,0.8314659197012139,0.005803411874859412,1
1.3455861409505208,0.05729071985159747,0.19837490717569986,0.019866663817893555,5,450,"{'clf__max_depth': 5, 'clf__n_estimators': 450}",0.819327731092437,0.8312236286919831,0.8396624472573839,0.8300712690139346,0.008341507457605524,5
0.4233362674713135,0.05031746439110986,0.16784588495890299,0.024309029463098507,6,100,"{'clf__max_depth': 6, 'clf__n_estimators': 100}",0.8319327731092437,0.8227848101265823,0.8185654008438819,0.8244276613599025,0.005579479094641249,20
0.5590504010518392,0.060804186453288396,0.16420269012451172,0.02279430216719508,6,150,"{'clf__max_depth': 6, 'clf__n_estimators': 150}",0.8277310924369747,0.8143459915611815,0.8396624472573839,0.8272465104185134,0.010341078185370143,8
0.7780655225118002,0.07599759813401098,0.1446700096130371,0.008001430570581348,6,200,"{'clf__max_depth': 6, 'clf__n_estimators': 200}",0.819327731092437,0.810126582278481,0.8312236286919831,0.8202259806876336,0.00863622143821469,27
0.8165229956309,0.09637870508943729,0.15718507766723633,0.013284626123057324,6,250,"{'clf__max_depth': 6, 'clf__n_estimators': 250}",0.8277310924369747,0.810126582278481,0.8396624472573839,0.8258400406576133,0.012131883273346746,13
0.9624512990315756,0.028139188686836694,0.1898810068766276,0.019269716630882096,6,300,"{'clf__max_depth': 6, 'clf__n_estimators': 300}",0.8277310924369747,0.8185654008438819,0.8312236286919831,0.8258400406576132,0.005337898505827993,15
1.0899718602498372,0.03775804376768409,0.18491021792093912,0.012197450297000225,6,350,"{'clf__max_depth': 6, 'clf__n_estimators': 350}",0.8277310924369747,0.810126582278481,0.8396624472573839,0.8258400406576133,0.012131883273346746,13
1.1712056795756023,0.06599497015912807,0.2013261318206787,0.01304416838480225,6,400,"{'clf__max_depth': 6, 'clf__n_estimators': 400}",0.8319327731092437,0.8143459915611815,0.8354430379746836,0.8272406008817029,0.00922979602530284,9
1.452427625656128,0.05839365826146367,0.19517008463541666,0.013243337424096632,6,450,"{'clf__max_depth': 6, 'clf__n_estimators': 450}",0.8319327731092437,0.8227848101265823,0.8396624472573839,0.8314600101644034,0.006898371178824935,4
0.3981904188791911,0.04209545828803897,0.1293164094289144,0.007550450085669632,7,100,"{'clf__max_depth': 7, 'clf__n_estimators': 100}",0.8403361344537815,0.810126582278481,0.8227848101265823,0.8244158422862816,0.012386806424243798,22
0.5265295505523682,0.04687725530868524,0.1607662041982015,0.020000554152829367,7,150,"{'clf__max_depth': 7, 'clf__n_estimators': 150}",0.8277310924369747,0.8185654008438819,0.8312236286919831,0.8258400406576132,0.005337898505827993,15
0.6927909056345621,0.07756048696278471,0.16251683235168457,0.006854999852600425,7,200,"{'clf__max_depth': 7, 'clf__n_estimators': 200}",0.819327731092437,0.810126582278481,0.8312236286919831,0.8202259806876336,0.00863622143821469,27
0.8528661727905273,0.12649911102498787,0.14843098322550455,0.006302706080402807,7,250,"{'clf__max_depth': 7, 'clf__n_estimators': 250}",0.8319327731092437,0.7932489451476793,0.8354430379746836,0.8202082520772022,0.019116897629175286,32
0.9102524121602377,0.07250621513686291,0.15176900227864584,0.026559367935152668,7,300,"{'clf__max_depth': 7, 'clf__n_estimators': 300}",0.8319327731092437,0.8016877637130801,0.8227848101265823,0.8188017823163021,0.012664610304482474,35
1.0326621532440186,0.06701387772704663,0.12997587521870932,0.006891283578238341,7,350,"{'clf__max_depth': 7, 'clf__n_estimators': 350}",0.8277310924369747,0.8016877637130801,0.8312236286919831,0.8202141616140127,0.013177506510740039,30
1.1079306602478027,0.07160879096595714,0.11215297381083171,0.0005190243904621564,7,400,"{'clf__max_depth': 7, 'clf__n_estimators': 400}",0.8319327731092437,0.8016877637130801,0.8270042194092827,0.8202082520772023,0.013249629613125922,31
1.0604345003763835,0.018815774341854358,0.10979143778483073,0.0010943548235843314,7,450,"{'clf__max_depth': 7, 'clf__n_estimators': 450}",0.8277310924369747,0.8143459915611815,0.8312236286919831,0.8244335708967131,0.0072741045272995755,18
